AccessControl xcb_access_control_t
Allow xcb_allow_t
ArcMode xcb_arc_mode_t
Atom xcb_atom_enum_t
AutoRepeatMode xcb_auto_repeat_mode_t
BackPixmap xcb_back_pixmap_t
BackingStore xcb_backing_store_t
Blanking xcb_blanking_t
ButtonIndex xcb_button_index_t
ButtonMask xcb_button_mask_t
CW xcb_cw_t
CapStyle xcb_cap_style_t
Circulate xcb_circulate_t
ClipOrdering xcb_clip_ordering_t
CloseDown xcb_close_down_t
ColorFlag xcb_color_flag_t
Colormap xcb_colormap_enum_t
ColormapAlloc xcb_colormap_alloc_t
ColormapState xcb_colormap_state_t
ConfigWindow xcb_config_window_t
CoordMode xcb_coord_mode_t
Cursor xcb_cursor_enum_t
EventMask xcb_event_mask_t
Exposures xcb_exposures_t
Family xcb_family_t
FillRule xcb_fill_rule_t
FillStyle xcb_fill_style_t
Font xcb_font_enum_t
FontDraw xcb_font_draw_t
GC xcb_gc_t
GX xcb_gx_t
GetPropertyType xcb_get_property_type_t
Grab xcb_grab_t
GrabMode xcb_grab_mode_t
GrabStatus xcb_grab_status_t
Gravity xcb_gravity_t
HostMode xcb_host_mode_t
ImageFormat xcb_image_format_t
ImageOrder xcb_image_order_t
InputFocus xcb_input_focus_t
JoinStyle xcb_join_style_t
KB xcb_kb_t
KeyButMask xcb_key_but_mask_t
Kill xcb_kill_t
LedMode xcb_led_mode_t
LineStyle xcb_line_style_t
MapIndex xcb_map_index_t
MapState xcb_map_state_t
Mapping xcb_mapping_t
MappingStatus xcb_mapping_status_t
ModMask xcb_mod_mask_t
Motion xcb_motion_t
NotifyDetail xcb_notify_detail_t
NotifyMode xcb_notify_mode_t
Pixmap xcb_pixmap_enum_t
Place xcb_place_t
PolyShape xcb_poly_shape_t
PropMode xcb_prop_mode_t
Property xcb_property_t
QueryShapeOf xcb_query_shape_of_t
ScreenSaver xcb_screen_saver_t
SendEventDest xcb_send_event_dest_t
SetMode xcb_set_mode_t
StackMode xcb_stack_mode_t
SubwindowMode xcb_subwindow_mode_t
Time xcb_time_t
Visibility xcb_visibility_t
VisualClass xcb_visual_class_t
Window xcb_window_enum_t
WindowClass xcb_window_class_t
