ARC xcb_arc_t
ATOM xcb_atom_t
BOOL u8
BOOL32 xcb_bool32_t
BUTTON xcb_button_t
BYTE u8
CARD16 u16
CARD32 u32
CARD8 u8
CHAR2B xcb_char2b_t
CHARINFO xcb_charinfo_t
COLORITEM xcb_coloritem_t
COLORMAP xcb_colormap_t
CURSOR xcb_cursor_t
DEPTH xcb_depth_t
DRAWABLE xcb_drawable_t
FONT xcb_font_t
FONTABLE xcb_fontable_t
FONTPROP xcb_fontprop_t
FORMAT xcb_format_t
GCONTEXT xcb_gcontext_t
HOST xcb_host_t
INT16 i16
KEYCODE xcb_keycode_t
KEYCODE32 xcb_keycode32_t
KEYSYM xcb_keysym_t
PIXMAP xcb_pixmap_t
POINT xcb_point_t
RECTANGLE xcb_rectangle_t
RGB xcb_rgb_t
SCREEN xcb_screen_t
SEGMENT xcb_segment_t
STR xcb_str_t
Setup xcb_setup_t
SetupAuthenticate xcb_setup_authenticate_t
SetupFailed xcb_setup_failed_t
SetupRequest xcb_setup_request_t
TIMECOORD xcb_timecoord_t
TIMESTAMP xcb_timestamp_t
VISUALID xcb_visualid_t
VISUALTYPE xcb_visualtype_t
WINDOW xcb_window_t
uint32_t u32
